Date,SpeedW,Lat,Lon,Speed,Edate
06/01/202108:14:25,0kn(s),47.77466,-54.0157,0,6
06/01/202108:35:24,0kn(s),47.77466,-54.0157,0,6
06/01/202108:56:21,0kn(s),47.77466,-54.0157,0,6
06/01/202109:17:14,0kn(s),47.77466,-54.0157,0,6
06/01/202109:59:19,0kn(s),47.77466,-54.0157,0,6
06/01/202110:20:21,0kn(s),47.77467,-54.0157,0,6
06/01/202110:41:17,0kn(s),47.77467,-54.0157,0,6
06/01/202111:02:20,0kn(s),47.77466,-54.0157,0,6
06/01/202111:23:17,0kn(s),47.77466,-54.0157,0,6
06/01/202111:44:10,0kn(s),47.77466,-54.0157,0,6
06/01/202112:47:19,0kn(s),47.77467,-54.0157,0,6
06/01/202113:50:20,0kn(s),47.77466,-54.0157,0,6
06/01/202114:11:19,0kn(s),47.77466,-54.0157,0,6
06/01/202114:32:22,0kn(s),47.77466,-54.0157,0,6
06/01/202115:35:10,0kn(s),47.77467,-54.0157,0,6
06/01/202115:56:15,0kn(s),47.77467,-54.0157,0,6
06/01/202116:17:27,0kn(s),47.77467,-54.0157,0,6
06/01/202116:59:20,0kn(s),47.77467,-54.0157,0,6
06/01/202117:20:15,0kn(s),47.77467,-54.0157,0,6
06/01/202118:23:24,0kn(s),47.77467,-54.0157,0,6
06/01/202118:44:20,0kn(s),47.77467,-54.0157,0,6
06/01/202119:08:21,0kn(s),47.77466,-54.0157,0,6
06/01/202119:32:13,0kn(s),47.77466,-54.0157,0,6
06/01/202119:52:26,0kn(s),47.77465,-54.0157,0,6
06/01/202120:14:17,0kn(s),47.77466,-54.0157,0,6
06/01/202120:34:22,0kn(s),47.77467,-54.0157,0,6
06/01/202120:56:13,0kn(s),47.77467,-54.0157,0,6
06/01/202123:34:22,0kn(s),47.77467,-54.0157,0,6
06/01/202123:55:12,0kn(s),47.77467,-54.0157,0,6
07/01/202100:06:44,1.6kn(s),47.77528,-54.0173,1.6,7
07/01/202100:21:25,11.2kn(s),47.76386,-54.0509,11.2,7
07/01/202100:32:13,13.1kn(s),47.72957,-54.0569,13.1,7
07/01/202100:42:31,13.7kn(s),47.6911,-54.0525,13.7,7
07/01/202100:53:36,14.3kn(s),47.64897,-54.0407,14.3,7
07/01/202101:09:40,14.6kn(s),47.58592,-54.023,14.6,7
07/01/202101:28:18,14.5kn(s),47.51036,-54.0101,14.5,7
07/01/202101:42:22,12.5kn(s),47.4599,-54.0421,12.5,7
07/01/202102:05:22,6.2kn(s),47.42148,-54.0884,6.2,7
07/01/202102:26:02,8.8kn(s),47.38746,-54.1144,8.8,7
07/01/202103:02:41,10.1kn(s),47.29716,-54.1815,10.1,7
07/01/202103:28:21,9.2kn(s),47.24425,-54.2417,9.2,7
07/01/202103:48:42,9.9kn(s),47.20059,-54.2902,9.9,7
07/01/202104:12:42,9.8kn(s),47.14709,-54.3478,9.8,7
07/01/202104:26:00,10kn(s),47.11882,-54.3823,10,7
07/01/202107:17:40,10.2kn(s),46.77498,-54.6898,10.2,7
07/01/202107:52:00,9.7kn(s),46.72868,-54.5778,9.7,7
07/01/202108:04:32,9.6kn(s),46.71163,-54.5356,9.6,7
07/01/202108:15:11,9.6kn(s),46.69655,-54.5,9.6,7
07/01/202108:25:30,9.3kn(s),46.68201,-54.4668,9.3,7
07/01/202108:36:31,9.4kn(s),46.66659,-54.4318,9.4,7
07/01/202108:47:12,9.5kn(s),46.65155,-54.3974,9.5,7
07/01/202109:00:31,9.4kn(s),46.63299,-54.3546,9.4,7
07/01/202109:17:25,8.6kn(s),46.61335,-54.3005,8.6,7
07/01/202109:28:12,9.9kn(s),46.61348,-54.2596,9.9,7
07/01/202109:39:05,9.7kn(s),46.61316,-54.2165,9.7,7
07/01/202109:49:30,10kn(s),46.6131,-54.1752,10,7
07/01/202110:00:12,9.9kn(s),46.6134,-54.1318,9.9,7
07/01/202110:10:30,10.7kn(s),46.61361,-54.0895,10.7,7
07/01/202110:21:13,10.5kn(s),46.61375,-54.0446,10.5,7
07/01/202110:34:23,10.5kn(s),46.61381,-53.9891,10.5,7
07/01/202110:47:05,10.3kn(s),46.6415,-53.9649,10.3,7
07/01/202110:57:25,10.5kn(s),46.66904,-53.9472,10.5,7
